artist,description,duration,genre,popularity,ranking,sentiment,track,writers,year,black,female,single_genre
Radiohead,"The idea of a karma police started as an inside joke within Radiohead. “When someone in the band behaved like an a-hole,” said guitarist Ed O’Brien, “one of the others always said, ‘The karma police is gonna get you.'” They turned this idea into a groundbreaking track on OK Computer that builds to a haunting outro created by Thom York and producer Nigel Godrich. “It’s not the band playing,” Godrich said. “It’s just samples and loops, which was the forerunner of a lot of things to come, good or bad.”",264066,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",73,279,"{'compound': 0.8567, 'neg': 0.022, 'neu': 0.845, 'pos': 0.132}",Karma Police',"Thom Yorke, Jonny Greenwood, Ed O'Brien, Colin Greenwood, Philip Selway",1997,False,False,rock
The Beatles,"After Lennon composed “Strawberry Fields Forever,” McCartney wrote his own snappy memoir. Penny Lane was a Liverpool bus stop where Lennon and McCartney often met. “The song was generated by a kind of ‘I can do just as well as you can, John,’ because we’d just recorded ‘Strawberry Fields,'” said George Martin. “It was such a knockout, I think Paul went back to perfect his idea.” There was collaboration amid the competition, too: “John came over and helped me with the third verse, as was often the case,” McCartney said. “We were writing recently faded memories from eight or 10 years before.”",180893,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",63,280,"{'compound': 0.5574, 'neg': 0.021, 'neu': 0.922, 'pos': 0.056}",Penny Lane',"John Lennon, Paul McCartney",1967,False,False,rock
Clipse,"“It was a record that I knew was gonna be way too innovative,” Pusha T said in 2012. Indeed, the rolling, sparse drums of “Grindin’” remain a stunning minimalist achievement, even in a genre known for percussive symphonies. Producer Pharrell Williams initially threatened to give the beat to Jay-Z, and Pusha and Malice rewrote their verses a few times in order to match the Neptunes’ startling innovation. Still, it’s hard to hear anyone but the twin brothers on “Grindin’,” especially when the former growls, “I’m trying to show y’all who the fuck I am.”",264760,"['alternative hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']",54,281,"{'compound': -0.6369, 'neg': 0.085, 'neu': 0.864, 'pos': 0.051}",Grindin'',"Gene Thornton, Terrence Thornton, Pharrell Williams, Chad Hugo",2002,True,False,hip hop
INXS,"This swelling Eighties pop-rock ballad, the fifth Top 10 hit from the Aussie rocker’s album Kick, began as a blues number. “[It was] a Fats Domino … Rolling Stones-y, early-Sixties song,” said producer Chris Thomas, who replaced the demo’s piano part with strings. That orchestra-scale riff and a wailing saxophone solo by Kirk Pengilly made the track perfect for the go-go late Eighties — not to mention the song’s music video, which was shot in Prague right in the midst of the fall of Czech communism.",185694,"['australian rock', 'classic rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",58,282,"{'compound': 0.7003, 'neg': 0.0, 'neu': 0.92, 'pos': 0.08}",Never Tear Us Apart',"Andrew Farriss, Michael Hutchence",1988,False,False,rock
Ray Charles,"Charles’ driver had heard him singing “Georgia on My Mind” in the car and suggested that Charles add it to the record he was working on, an album consisting of songs with place names in their titles. Once he recorded it, though, Charles said he thought of many ways his rendition could have been better. As the single was about to enter the charts, he introduced his version to America on Hugh Hefner’s Playboy Penthouse, a syndicated show out of Chicago, with David “Fathead” Newman handling the string parts on flute.",217414,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",61,283,"{'compound': 0.4404, 'neg': 0.0, 'neu': 0.968, 'pos': 0.032}",Georgia on My Mind',"Hoagy Carmichael, Stuart Gorrell",1960,True,False,soul
Leonard Cohen,"After folk sage Judy Collins recorded “Suzanne,” which Cohen wrote about his unconsummated desire for a friend’s younger wife, avant-garde dancer Suzanne Verdal, it became a standard, covered by everyone from Nina Simone to Neil Diamond; and Cohen, already a well-respected poet, got a record deal. His version is slow-paced and sparse, leaving space for his sensual and biblical symbolism and intimate, unashamed, commonplace voice. “I didn’t know that I’d be able to sing ‘Suzanne’ 40 years later,” he once said.",229293,"['canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter']",62,284,"{'compound': 0.6249, 'neg': 0.0, 'neu': 0.936, 'pos': 0.064}",Suzanne',Leonard Cohen,1967,False,False,singer-songwriter
Destiny’s Child,"Initially, Destiny’s Child didn’t like producer Rodney Jerkins’ original track. “I don’t think he liked it either. There was just too much stuff going on,” Beyoncé said years later, before a revision “turned it into an amazing, timeless R&B record.” A bigger scandal ensued when manager (and Beyoncé’s father) Mathew Knowles canned LeToya Luckett and LaTavia Roberson when they asked for more money; newcomers Farrah Franklin and Michelle Williams sang the former members’ parts in the track’s video. Controversy sells, of course, and it hardly hurt that “Say My Name” was also a classic millennial R&B moment.",271333,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']",75,285,"{'compound': 0.659, 'neg': 0.057, 'neu': 0.835, 'pos': 0.108}",Say My Name',"LaShawn Daniels, Rodney Jerkins, Fred Jerkins III, Beyoncé Knowles, LeToya Luckett, LaTavia Roberson, Kelly Rowland",1999,True,True,pop
ABBA,"ABBA’s songwriters were inspired by soulman George McCrae’s dance-floor hit “Rock Your Baby” to try their hands at a disco song, deciding to open their tune mid-chorus, Benny Andersson said, “for maximum impact.” When Andersson auditioned the song for his fiancée and band member Anni-Frid Lyngstad, she was moved to tears. Sweden’s biggest musical export debuted “Queen” in 1976 at a ball for King Carl XVI Gustaf on the eve of his wedding. The song, a frothy dessert of sublime melody and pop-operatic harmonies, became the group’s only U.S. Number One.",230400,"['europop', 'swedish pop']",80,286,"{'compound': 0.5994, 'neg': 0.02, 'neu': 0.906, 'pos': 0.073}",Dancing Queen',"Benny Andersson, Björn Ulvaeus, Stig Anderson",1976,False,True,pop
AC/DC,"AC/DC singer Bon Scott died of asphyxiation in February 1980, choking on his vomit after a night of boozing, just as their LP Highway to Hell made stars of the Aussie hard rockers. Two days later, brothers Malcolm and Angus Young were rehearsing again (“Bon would have done the same,” Angus said), and within a fortnight, they’d hired a new singer, Brian Johnson. The first song this new lineup wrote together was “You Shook Me All Night Long,” which Johnson told his new bandmates was “the best rock & roll song I’ve ever heard in my life.”",210173,"['australian rock', 'hard rock', 'rock']",78,287,"{'compound': -0.8316, 'neg': 0.133, 'neu': 0.827, 'pos': 0.04}",You Shook Me All Night Long',"Angus Young, Malcolm Young, Brian Johnson",1980,False,False,rock
The Funky 4 + 1,"Some groundbreaking acts never got to make an album. The Funky 4 + 1, an effervescent, explosive O.G. Bronx rap crew featuring the pioneering female MC Sha-Rock, was one. But the group broke up shortly after performing this, their second single, on Saturday Night Live in 1981 — the first hip-hop group ever to appear on the show. “We made it easier for the next generation to be able to just explode from it,” Sha-Rock said, “because at that point the world was ready for it.”",563640,[],4,288,"{'compound': 0.4678, 'neg': 0.054, 'neu': 0.87, 'pos': 0.076}",That's the Joint',"Clifton ""Jiggs"" Chase, Sylvia Robinson, Keith Caesar, Sharon Green, Jeffrey Myree, Kevin Smith, Rodney Stone",1980,True,False,other
Bruce Springsteen,"On March 15th, 1981, Philadelphia mob boss Philip “The Chicken Man” Testa was murdered by a nail bomb that had been hidden under his porch. Springsteen took this slice of real life as the starting point for this mournful tale of a desperate man that turns to crime to pay off “debts no honest man can pay.” The song became a concert favorite, and there have been magnificent renditions by the E Street Band and the Sessions Band, but they never quite topped the tragic beauty of the acoustic original from Nebraska.",236653,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",53,289,"{'compound': -0.0376, 'neg': 0.166, 'neu': 0.697, 'pos': 0.137}",Atlantic City',Bruce Springsteen,1982,False,False,rock
Usher feat. Lil Jon and Ludacris,"In 2004, “Yeah!” was inescapable, like Juicy Couture tracksuits and Von Dutch trucker hats. Ludacris’ cartoonish rap and Usher’s suave R&B collided at full speed, egged on by Lil Jon’s unforgettable ad-libbing. “Yeah!” dropped months before Usher’s seminal Confessions LP, which went on to sell 1 million copies in its first week. The song held down the top of the charts for three months.",250373,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",80,290,"{'compound': 0.7835, 'neg': 0.0, 'neu': 0.884, 'pos': 0.116}",Yeah!',"Christopher Bridges, James Phillips, Jonathan Smith, LaMarquis Jefferson, Patrick Smith, Sean Garrett",2004,True,False,hip hop
Phil Collins,"In 1979, following a lengthy tour with Genesis that led to the breakdown of his marriage, Phil Collins came home to an empty house. “I was angry, I was miserable, I was sad,” he later said of the period. He set up a makeshift studio in his bedroom and channeled all that hurt into one of the most chilling and arresting songs of the Eighties — an eerie synth-and-drum-machine moodscape, topped with an elliptical, accusatory rant and the Mona Lisa of all drum fills, a descending tom-tom break that Collins once likened to the sound of “barking seals.”",336453,"['mellow gold', 'rock drums', 'soft rock']",75,291,"{'compound': -0.9432, 'neg': 0.175, 'neu': 0.825, 'pos': 0.0}",In the Air Tonight',Phil Collins,1981,False,False,rock
A Tribe Called Quest,"Along with De La Soul and the Jungle Brothers, the Queens, New York, trio were part of a bold movement of buoyant positivity in rap at the time. On “Can I Kick It,” Q-Tip and Phife Dawg toggle effortlessly between a slouched coolness and uptempo spontaneity, while producer Ali Shaheed Muhammad puts on a masterclass in free-form sampling brilliance, particularly with the use of the bass line from Lou Reed’s “Walk on the Wild Side.” After the sample wasn’t initially cleared, Reed ended up with a solo writing credit for the song, and all the proceeds.",251573,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",69,292,"{'compound': 0.9287, 'neg': 0.0, 'neu': 0.844, 'pos': 0.156}",Can I Kick It?',Lou Reed,1990,True,False,hip hop
